ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.cli.CommandLine.getOptionProperties(Option);3;20;3;9;6;5;1;11;4;7;5;5;5;1;1;0;3;0;org.apache.commons.cli.CommandLineTest.testGetOptionPropertiesWithOption();0;19;8;16;13;1;0;17;8;9;1;1;1;1;0;0;0;0;org.apache.commons.cli.CommandLineTest.testGetOptionPropertiesWithOption();26.5;1;6;14;1;18;0.6428571428571428;
org.apache.commons.cli.CommandLine.getOptionProperties(String);4;20;3;9;8;5;1;11;4;7;5;5;6;1;1;0;3;0;org.apache.commons.cli.ParserTestCase.testPropertiesOption2();1;31;12;25;24;2;0;27;12;15;2;2;2;2;0;0;0;0;org.apache.commons.cli.ParserTestCase.testPropertiesOption2();47.5;1;9;14;1;20;0.7142857142857142;
org.apache.commons.cli.CommandLine.getOptionValue(Option);17;9;2;4;2;2;0;5;2;3;3;3;3;1;1;0;1;0;org.apache.commons.cli.ValueTest.testLongOptionalNArgValuesWithOption();7;33;11;20;25;4;0;23;10;13;4;4;4;4;0;0;0;0;org.apache.commons.cli.ValueTest.testLongOptionalNArgValuesWithOption();20;0;0;4;0.6666666666666666;1;0.5;
org.apache.commons.cli.CommandLine.getOptionValues(Option);8;12;2;5;7;3;0;7;3;4;4;4;4;1;0;0;2;0;org.apache.commons.cli.ValueTest.testShortOptionalNArgValuesWithOption();4;24;8;18;16;2;0;20;8;12;2;2;2;2;0;0;0;0;org.apache.commons.cli.ValueTest.testShortOptionalNArgValuesWithOption();16;1;2;7;0.875;3;0.3333333333333333;
org.apache.commons.cli.CommandLine.getParsedOptionValue(Option);4;13;2;6;4;3;0;7;2;5;3;3;3;3;2;2;1;2;org.apache.commons.cli.CommandLineTest.testNullhOption();2;22;12;18;20;2;0;20;12;8;2;2;2;2;0;0;0;0;org.apache.commons.cli.CommandLineTest.testNullhOption();10;0;0;7;0.7777777777777778;2;0.6666666666666666;
org.apache.commons.cli.HelpFormatter.printHelp(PrintWriter,int,String,String,Options,int,int,String,boolean);17;26;3;11;6;16;1;11;1;10;5;5;8;1;1;0;1;0;org.apache.commons.cli.HelpFormatterTest.testOptionWithoutShortFormat2();2;95;31;86;19;3;0;41;26;15;3;3;3;3;0;0;0;0;org.apache.commons.cli.HelpFormatterTest.testOptionWithoutShortFormat2();30;0;0;9;0.6428571428571429;1;0.2;
org.apache.commons.cli.HelpFormatter.printUsage(PrintWriter,int,String,Options);14;32;6;17;17;14;1;18;7;11;6;6;6;1;1;0;3;0;org.apache.commons.cli.HelpFormatterTest.testUsageWithLongOptSeparator();3;78;27;60;40;5;0;63;28;35;5;5;5;5;0;0;0;0;org.apache.commons.cli.HelpFormatterTest.testUsageWithLongOptSeparator();120.5;1;11.5;16;0.7272727272727273;10;0.15873015873015872;
org.apache.commons.cli.Options.addOption(Option);88;18;2;9;10;6;1;10;2;8;4;4;4;1;0;0;2;0;org.apache.commons.cli.OptionsTest.testMissingOptionsException();2;220;50;194;73;9;0;123;43;80;9;9;9;7;2;0;0;0;org.apache.commons.cli.OptionsTest.testMissingOptionsException();55.5;0;0;11;0.8461538461538463;3;0.5;
org.apache.commons.cli.Options.addOptionGroup(OptionGroup);15;14;1;7;8;4;1;9;2;7;3;3;3;1;0;0;1;0;org.apache.commons.cli.OptionsTest.testGetOptionsGroups();0;14;4;11;7;1;0;12;4;8;1;1;1;1;0;0;0;0;org.apache.commons.cli.OptionsTest.testGetOptionsGroups();13;1;2;8;0.8;6;0.6666666666666666;
org.apache.commons.cli.Options.getMatchingOptions(String);5;17;2;8;7;4;1;10;3;7;4;4;4;1;1;0;2;0;org.apache.commons.cli.OptionsTest.testGetMatchingOpts();0;9;2;6;8;1;0;7;2;5;1;1;1;1;0;0;0;0;org.apache.commons.cli.OptionsTest.testGetMatchingOpts();10;1;1.3333333333333333;12;1;9;0.9;
org.apache.commons.cli.PatternOptionBuilder.parsePattern(String);11;45;10;30;12;10;1;24;9;15;6;6;6;1;2;0;3;0;org.apache.commons.cli.PatternOptionBuilderTest.testExistingFilePatternFileNotExist();1;58;15;45;26;7;1;47;15;32;6;6;6;4;2;0;0;0;org.apache.commons.cli.PatternOptionBuilderTest.testExistingFilePatternFileNotExist();212;1;23;25;0.9259259259259258;24;0.4897959183673469;
