ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.lang3.math.NumberUtils.isParsable(String);2;15;1;9;5;5;1;10;1;9;5;5;5;5;5;5;2;5;org.apache.commons.lang3.math.NumberUtilsTest.testIsParsable();0;21;1;19;3;1;0;20;1;19;1;1;1;1;0;0;0;0;org.apache.commons.lang3.math.NumberUtilsTest.testIsParsable();5.8;0;0;14;0.9999999999999998;5;1;
org.apache.commons.lang3.math.NumberUtils.createBigDecimal(String);5;12;1;7;4;5;1;8;1;7;4;4;4;1;1;0;1;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimalFailure(String);4;20;2;16;5;2;0;15;2;13;2;2;2;2;0;0;0;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimalFailure(String);10.5;0;0;11;1;4;1;
org.apache.commons.lang3.math.NumberUtils.createBigInteger(String);4;24;5;19;5;9;1;20;5;15;7;7;9;1;3;0;1;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigIntegerFailure(String);4;6;1;4;1;1;0;2;1;1;1;1;1;1;0;0;0;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigIntegerFailure(String);12.375;0;0;23;0.8846153846153846;5;0.23809523809523808;
org.apache.commons.lang3.text.WordUtils.wrap(String,int,String,boolean,String);7;62;8;47;13;585;3;44;7;37;14;14;14;6;8;7;4;5;org.apache.commons.lang3.text.WordUtilsTest.testWrap_StringIntStringBooleanString();0;14;3;12;2;1;0;13;3;10;1;1;1;1;0;0;0;0;org.apache.commons.lang3.text.WordUtilsTest.testWrap_StringIntStringBooleanString();35.6;1;1.2;46;0.7419354838709677;6;0.013452914798206277;
org.apache.commons.lang3.StringUtils.getLevenshteinDistance(CharSequence,CharSequence,int);8;59;11;45;7;252;2;52;14;38;17;17;18;7;8;8;3;7;org.apache.commons.lang3.StringUtilsTest.testGetLevenshteinDistance_StringStringInt();2;46;3;40;4;3;0;43;3;40;3;3;3;3;0;0;0;0;org.apache.commons.lang3.StringUtilsTest.testGetLevenshteinDistance_StringStringInt();139.54166666666666;1;7.5;54;0.9473684210526316;24;0.3478260869565218;
org.apache.commons.lang3.StringUtils.indexOfDifference(CharSequence...);5;43;8;31;6;49;2;36;11;25;11;11;14;9;9;9;3;8;org.apache.commons.lang3.StringUtilsTest.testDifferenceAt_StringArray();0;19;1;17;2;1;0;18;1;17;1;1;1;1;0;0;0;0;org.apache.commons.lang3.StringUtilsTest.testDifferenceAt_StringArray();32.07692307692308;1;3.1538461538461537;41;1;19;0.39583333333333326;
org.apache.commons.lang3.RandomStringUtils.random(int,int,int,boolean,boolean,char[],Random);16;67;8;50;8;761;3;40;7;33;17;15;30;4;7;4;3;2;org.apache.commons.lang3.RandomStringUtilsTest.testExceptions();12;101;9;87;25;258;2;104;17;87;11;11;16;3;0;0;0;0;org.apache.commons.lang3.RandomStringUtilsTest.testExceptions();1655.5208333333333;1;186.5;55;0.9016393442622952;25;0.15822784810126583;
org.apache.commons.lang3.builder.EqualsBuilder.reflectionAppend(Object,Object);8;49;4;36;10;24;1;33;4;29;12;12;16;7;11;8;4;8;org.apache.commons.lang3.builder.EqualsBuilderTest.testReflectionAppend();0;12;3;10;8;1;0;11;3;8;1;1;1;1;0;0;0;0;org.apache.commons.lang3.builder.EqualsBuilderTest.testReflectionAppend();11.25;1;0.25;31;0.7045454545454546;6;0.2608695652173913;
org.apache.commons.lang3.time.DurationFormatUtils.formatPeriod(long,long,String,boolean,TimeZone);23;94;13;72;10;10240;4;70;12;58;20;20;23;1;1;0;4;0;org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriodISOMethod();11;80;15;71;20;4;0;74;15;59;4;4;4;4;0;0;0;0;org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatPeriodISOMethod();133.33333333333334;1;1.1111111111111112;59;0.6413043478260869;15;0.022354694485842024;
org.apache.commons.lang3.time.DurationFormatUtils.formatDurationWords(long,boolean,boolean);7;45;7;31;7;45;2;32;4;28;10;10;10;1;0;0;4;0;org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationPluralWords();0;94;8;89;4;3;0;93;9;84;3;3;3;2;0;0;0;0;org.apache.commons.lang3.time.DurationFormatUtilsTest.testFormatDurationPluralWords();31;0;0;37;0.902439024390244;11;0.24444444444444446;
