ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.math4.analysis.interpolation.BicubicInterpolator.interpolate(double[],double[],double[][]);5;51;21;39;4;12;1;37;20;17;5;5;7;1;0;0;0;0;org.apache.commons.math4.analysis.interpolation.BicubicInterpolatingFunctionTest.testParaboloid();1;126;44;99;4;18;1;66;43;23;7;7;7;3;4;0;0;0;org.apache.commons.math4.analysis.interpolation.BicubicInterpolatingFunctionTest.testParaboloid();7548;1;39;31;0.9393939393939394;15;0.625;
org.apache.commons.math4.analysis.FunctionUtils.sample(UnivariateFunction,double,double,int);13;17;4;11;5;8;1;12;4;8;4;4;4;1;0;0;1;0;org.apache.commons.math4.analysis.FunctionUtilsTest.testSample();4;19;9;10;6;5;0;16;10;6;5;5;5;4;0;0;0;0;org.apache.commons.math4.analysis.FunctionUtilsTest.testSample();43;1;11;13;1;6;0.8571428571428571;
org.apache.commons.math4.analysis.differentiation.JacobianFunction.value(double[]);4;17;5;12;4;6;1;19;8;11;4;4;4;1;0;0;2;0;org.apache.commons.math4.analysis.differentiation.JacobianFunctionTest.testSphere();1;15;6;10;6;4;1;17;9;8;4;4;4;1;0;0;0;0;org.apache.commons.math4.analysis.differentiation.JacobianFunctionTest.testSphere();43;1;5;16;1;10;0.7142857142857143;
org.apache.commons.math4.analysis.polynomials.PolynomialFunction.subtract(PolynomialFunction);5;17;4;12;5;6;1;15;6;9;4;4;4;1;1;0;2;0;org.apache.commons.math4.analysis.polynomials.PolynomialsUtilsTest.testJacobiLegendre();0;19;6;14;10;3;0;18;7;11;3;3;3;2;0;0;0;0;org.apache.commons.math4.analysis.polynomials.PolynomialsUtilsTest.testJacobiLegendre();28;1;6;9;0.6428571428571429;1;0.1111111111111111;
org.apache.commons.math4.analysis.differentiation.FiniteDifferencesDifferentiator.FiniteDifferencesDifferentiator(int,double,double,double);9;19;4;12;10;8;1;13;2;11;4;4;4;1;0;0;1;0;org.apache.commons.math4.analysis.differentiation.FiniteDifferencesDifferentiatorTest.testBoundedSqrt();4;58;19;43;21;11;1;38;16;22;7;7;7;3;6;0;0;0;org.apache.commons.math4.analysis.differentiation.FiniteDifferencesDifferentiatorTest.testBoundedSqrt();31;0;0;13;0.8125;2;0.5;
org.apache.commons.math4.analysis.solvers.UnivariateSolverUtils.bracket(UnivariateFunction,double,double,double,double,double,int);19;45;13;33;9;48;2;33;11;22;9;9;11;6;13;13;3;13;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBadMaximumIterations();9;70;24;44;25;12;0;51;24;27;12;12;12;12;0;0;0;0;org.apache.commons.math4.analysis.solvers.UnivariateSolverUtilsTest.testBadMaximumIterations();3103;1;223;39;1.0000000000000002;31;0.8157894736842104;
org.apache.commons.math4.dfp.DfpMath.pow(Dfp,int);9;32;7;24;6;5;1;25;7;18;6;6;6;1;1;0;2;0;org.apache.commons.math4.analysis.solvers.FieldBracketingNthOrderBrentSolverTest.testNeta();0;40;1;31;2;2;0;21;8;13;2;2;2;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.FieldBracketingNthOrderBrentSolverTest.testNeta();158.99595141700405;1;3.854251012145749;30;1;23;0.9200000000000002;
org.apache.commons.math4.filter.KalmanFilter.predict(RealVector);12;14;1;10;10;4;1;7;1;6;3;3;4;1;0;0;1;0;org.apache.commons.math4.filter.KalmanFilterTest.testConstant();3;141;81;130;77;6;0;104;72;32;6;6;6;3;0;0;0;0;org.apache.commons.math4.filter.KalmanFilterTest.testConstant();20;0;0;7;0.7777777777777777;2;0.6666666666666666;
org.apache.commons.math4.dfp.Dfp.toDouble();27;62;10;47;23;292;2;47;10;37;17;17;18;7;7;7;2;7;org.apache.commons.math4.analysis.function.SincTest.testDerivativeShortcut();0;15;7;10;6;2;0;12;8;4;2;2;2;1;0;0;0;0;org.apache.commons.math4.analysis.function.SincTest.testDerivativeShortcut();37.8;1;2.5;43;0.7049180327868854;8;0.05128205128205127;
org.apache.commons.math4.dfp.Dfp.divide(int);36;45;10;35;11;22;1;38;11;27;9;9;10;6;6;6;2;6;org.apache.commons.math4.analysis.solvers.FieldBracketingNthOrderBrentSolverTest.testConvergenceOnFunctionAccuracy();5;27;13;22;13;1;0;19;11;8;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.solvers.FieldBracketingNthOrderBrentSolverTest.testConvergenceOnFunctionAccuracy();228.4;1;42.6;26;0.6046511627906977;10;0.39999999999999997;
