ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;id;testPath;pathLength;hasLoop;countLoop;countnewReqEcCovered;countReqEcCovered;EdgeCoverage;countnewReqPpcCovered;countReqPcCovered;primePathCoverage
joptsimple.ArgumentAcceptingOptionSpec.withValuesConvertedBy(ValueConverter<T>);14;6;1;4;2;2;0;5;1;4;2;2;2;1;0;0;1;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsNullConverter();0;3;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsNullConverter();6,2,3,7;4;0;0;3;3;0.5;1;1;0.5;
joptsimple.ArgumentAcceptingOptionSpec.withValuesSeparatedBy(char);7;6;1;4;3;2;0;5;1;4;2;2;2;1;0;0;1;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroAsCharValueSeparatorForRequiredArgument();0;3;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroAsCharValueSeparatorForRequiredArgument();6,2,3,7;4;0;0;3;3;0.5;1;1;0.5;
joptsimple.ArgumentAcceptingOptionSpec.withValuesSeparatedBy(char);7;6;1;4;3;2;0;5;1;4;2;2;2;1;0;0;1;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroAsCharValueSeparatorForOptionalArgument();0;3;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroAsCharValueSeparatorForOptionalArgument();6,2,3,7;4;0;0;0;3;0.5;0;1;0.5;
joptsimple.ArgumentAcceptingOptionSpec.withValuesSeparatedBy(String);5;6;1;4;3;2;0;5;1;4;2;2;2;1;0;0;1;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForRequiredArgument();0;3;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForRequiredArgument();6,2,4,5,7;5;0;0;4;4;0.6666666666666666;1;1;0.5;
joptsimple.ArgumentAcceptingOptionSpec.withValuesSeparatedBy(String);5;6;1;4;3;2;0;5;1;4;2;2;2;1;0;0;1;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForRequiredArgument();0;3;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForRequiredArgument();6,2,3,7;4;0;0;2;3;0.5;1;1;0.5;
joptsimple.ArgumentAcceptingOptionSpec.withValuesSeparatedBy(String);5;6;1;4;3;2;0;5;1;4;2;2;2;1;0;0;1;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForOptionalArgument();0;3;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForOptionalArgument();6,2,4,5,7;5;0;0;0;4;0.6666666666666666;0;1;0.5;
joptsimple.ArgumentAcceptingOptionSpec.withValuesSeparatedBy(String);5;6;1;4;3;2;0;5;1;4;2;2;2;1;0;0;1;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForOptionalArgument();0;3;1;1;2;1;0;2;1;1;1;1;1;1;0;0;0;0;joptsimple.ArgumentAcceptingOptionSpecTest.rejectsUnicodeZeroInStringValueSeparatorForOptionalArgument();6,2,3,7;4;0;0;0;3;0.5;0;1;0.5;
joptsimple.util.DateConverter.DateConverter(DateFormat);10;5;1;3;2;2;0;4;1;3;2;2;2;1;0;0;1;0;joptsimple.util.DateConverterTest.rejectsNullDateFormatter();0;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0;joptsimple.util.DateConverterTest.rejectsNullDateFormatter();7,3,4,8;4;0;0;3;3;0.6;1;1;0.5;
joptsimple.util.DateConverter.DateConverter(DateFormat);10;5;1;3;2;2;0;4;1;3;2;2;2;1;0;0;1;0;joptsimple.util.DateConverterTest.shouldConvertValuesToDatesUsingADateFormat();1;4;2;2;4;1;0;3;2;1;1;1;1;1;0;0;0;0;joptsimple.util.DateConverterTest.shouldConvertValuesToDatesUsingADateFormat();7,3,5,8;4;0;0;2;3;0.6;1;1;0.5;
joptsimple.util.DateConverter.DateConverter(DateFormat);10;5;1;3;2;2;0;4;1;3;2;2;2;1;0;0;1;0;joptsimple.util.DateConverterTest.shouldRaiseExceptionThatContainsDatePatternAndValue();3;6;1;4;5;1;0;5;1;4;1;1;1;1;0;0;0;0;joptsimple.util.DateConverterTest.shouldRaiseExceptionThatContainsDatePatternAndValue();7,3,5,8;4;0;0;0;3;0.6;0;1;0.5;
