ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;id;testPath;pathLength;hasLoop;countLoop;countnewReqEcCovered;countReqEcCovered;EdgeCoverage;countnewReqPpcCovered;countReqPcCovered;primePathCoverage
org.apache.commons.lang3.math.NumberUtils.isParsable(String);2;15;1;9;5;5;1;10;1;9;5;5;5;5;5;5;2;5;org.apache.commons.lang3.math.NumberUtilsTest.testIsParsable();0;21;1;19;3;1;0;20;1;19;1;1;1;1;0;0;0;0;org.apache.commons.lang3.math.NumberUtilsTest.testIsParsable();11,2,4,6,7,8,12;7;0;0;6;6;0.42857142857142855;1;1;0.2;
org.apache.commons.lang3.math.NumberUtils.isParsable(String);2;15;1;9;5;5;1;10;1;9;5;5;5;5;5;5;2;5;org.apache.commons.lang3.math.NumberUtilsTest.testIsParsable();0;21;1;19;3;1;0;20;1;19;1;1;1;1;0;0;0;0;org.apache.commons.lang3.math.NumberUtilsTest.testIsParsable();11,2,4,6,7,9,12;7;0;0;2;6;0.42857142857142855;1;1;0.2;
org.apache.commons.lang3.math.NumberUtils.isParsable(String);2;15;1;9;5;5;1;10;1;9;5;5;5;5;5;5;2;5;org.apache.commons.lang3.math.NumberUtilsTest.testIsParsable();0;21;1;19;3;1;0;20;1;19;1;1;1;1;0;0;0;0;org.apache.commons.lang3.math.NumberUtilsTest.testIsParsable();11,2,4,6,10,12;6;0;0;2;5;0.35714285714285715;1;1;0.2;
org.apache.commons.lang3.math.NumberUtils.isParsable(String);2;15;1;9;5;5;1;10;1;9;5;5;5;5;5;5;2;5;org.apache.commons.lang3.math.NumberUtilsTest.testIsParsable();0;21;1;19;3;1;0;20;1;19;1;1;1;1;0;0;0;0;org.apache.commons.lang3.math.NumberUtilsTest.testIsParsable();11,2,4,5,12;5;0;0;2;4;0.2857142857142857;1;1;0.2;
org.apache.commons.lang3.math.NumberUtils.isParsable(String);2;15;1;9;5;5;1;10;1;9;5;5;5;5;5;5;2;5;org.apache.commons.lang3.math.NumberUtilsTest.testIsParsable();0;21;1;19;3;1;0;20;1;19;1;1;1;1;0;0;0;0;org.apache.commons.lang3.math.NumberUtilsTest.testIsParsable();11,2,3,12;4;0;0;2;3;0.21428571428571427;1;1;0.2;
org.apache.commons.lang3.math.NumberUtils.createBigDecimal(String);5;12;1;7;4;5;1;8;1;7;4;4;4;1;1;0;1;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimal();0;14;1;12;4;1;0;13;1;12;1;1;1;1;0;0;0;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimal();9,2,4,6,8,10;6;0;0;5;5;0.45454545454545453;1;1;0.25;
org.apache.commons.lang3.math.NumberUtils.createBigDecimal(String);5;12;1;7;4;5;1;8;1;7;4;4;4;1;1;0;1;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimal();0;14;1;12;4;1;0;13;1;12;1;1;1;1;0;0;0;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimal();9,2,4,6,7,10;6;0;0;2;5;0.45454545454545453;1;1;0.25;
org.apache.commons.lang3.math.NumberUtils.createBigDecimal(String);5;12;1;7;4;5;1;8;1;7;4;4;4;1;1;0;1;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimal();0;14;1;12;4;1;0;13;1;12;1;1;1;1;0;0;0;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimal();9,2,4,5,10;5;0;0;2;4;0.36363636363636365;1;1;0.25;
org.apache.commons.lang3.math.NumberUtils.createBigDecimal(String);5;12;1;7;4;5;1;8;1;7;4;4;4;1;1;0;1;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimal();0;14;1;12;4;1;0;13;1;12;1;1;1;1;0;0;0;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimal();9,2,3,10;4;0;0;2;3;0.2727272727272727;1;1;0.25;
org.apache.commons.lang3.math.NumberUtils.createBigDecimal(String);5;12;1;7;4;5;1;8;1;7;4;4;4;1;1;0;1;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimalFailure(String);4;6;1;4;1;1;0;2;1;1;1;1;1;1;0;0;0;0;org.apache.commons.lang3.math.NumberUtilsTest.testCreateBigDecimalFailure(String);9,2,4,6,8,10;6;0;0;0;5;0.45454545454545453;0;1;0.25;
