ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;id;testPath;pathLength;hasLoop;countLoop;countnewReqEcCovered;countReqEcCovered;EdgeCoverage;countnewReqPpcCovered;countReqPcCovered;primePathCoverage
com.mpatric.mp3agic.BaseException.getDetailedMessage();3;20;3;15;8;5;1;15;3;12;4;4;5;3;3;2;2;1;com.mpatric.mp3agic.BaseExceptionTest.generatesCorrectDetailedMessageForSingleException();0;5;2;3;4;1;0;4;2;2;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BaseExceptionTest.generatesCorrectDetailedMessageForSingleException();15,2,3,4,5,6,7,8,9,10,11,12,17,14,16;15;0;0;14;14;0.8235294117647058;1;1;0.041666666666666664;
com.mpatric.mp3agic.BaseException.getDetailedMessage();3;20;3;15;8;5;1;15;3;12;4;4;5;3;3;2;2;1;com.mpatric.mp3agic.BaseExceptionTest.generatesCorrectDetailedMessageForChainedBaseExceptions();0;9;6;7;8;1;0;8;6;2;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BaseExceptionTest.generatesCorrectDetailedMessageForChainedBaseExceptions();15,2,3,4,5,6,7,8,9,10,11,12,13,4,5,6,7,8,9,10,11,12,13,4,5,6,7,8,9,10,11,12,13,4,5,6,7,8,9,10,11,12,13,4,5,6,7,8,9,10,11,12,17,14,16;55;1;4;2;16;0.9411764705882353;12;12;0.5;
com.mpatric.mp3agic.BufferTools.indexOfTerminator(byte[],int,int);21;16;3;9;1;8;1;16;4;12;6;6;6;6;5;5;4;5;com.mpatric.mp3agic.BufferToolsTest.findsSingleTerminator();4;4;2;2;2;1;0;3;2;1;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.findsSingleTerminator();11,2,3,4,5,6,13,7,3,4,5,6,13,7,3,4,5,6,13,7,3,4,5,6,13,7,3,4,5,6,5,7,8,9,10,12;36;1;5;14;14;0.875;8;8;0.34782608695652173;
com.mpatric.mp3agic.BufferTools.indexOfTerminator(byte[],int,int);21;16;3;9;1;8;1;16;4;12;6;6;6;6;5;5;4;5;com.mpatric.mp3agic.BufferToolsTest.findsFirstSingleTerminator();4;4;2;2;2;1;0;3;2;1;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.findsFirstSingleTerminator();11,2,3,4,5,6,13,7,3,4,5,6,13,7,3,4,5,6,13,7,3,4,5,6,13,7,3,4,5,6,5,7,8,9,10,12;36;1;5;0;14;0.875;0;8;0.34782608695652173;
com.mpatric.mp3agic.BufferTools.indexOfTerminator(byte[],int,int);21;16;3;9;1;8;1;16;4;12;6;6;6;6;5;5;4;5;com.mpatric.mp3agic.BufferToolsTest.findsFirstSingleTerminatorAfterFromIndex();4;4;2;2;2;1;0;3;2;1;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.findsFirstSingleTerminatorAfterFromIndex();11,2,3,4,5,6,13,7,3,4,5,6,13,7,3,4,5,6,5,7,8,9,10,12;24;1;3;0;14;0.875;0;8;0.34782608695652173;
com.mpatric.mp3agic.BufferTools.indexOfTerminator(byte[],int,int);21;16;3;9;1;8;1;16;4;12;6;6;6;6;5;5;4;5;com.mpatric.mp3agic.BufferToolsTest.findsSingleTerminatorWhenFirstElement();3;4;2;2;2;1;0;3;2;1;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.findsSingleTerminatorWhenFirstElement();11,2,3,4,5,6,5,7,8,9,10,12;12;1;1;0;11;0.6875;0;2;0.08695652173913043;
com.mpatric.mp3agic.BufferTools.indexOfTerminator(byte[],int,int);21;16;3;9;1;8;1;16;4;12;6;6;6;6;5;5;4;5;com.mpatric.mp3agic.BufferToolsTest.findsSingleTerminatorWhenLastElement();3;4;2;2;2;1;0;3;2;1;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.findsSingleTerminatorWhenLastElement();11,2,3,4,5,6,13,7,3,4,5,6,13,7,3,4,5,6,13,7,3,4,5,6,13,7,3,4,5,6,5,7,8,9,10,12;36;1;5;0;14;0.875;0;8;0.34782608695652173;
com.mpatric.mp3agic.BufferTools.indexOfTerminator(byte[],int,int);21;16;3;9;1;8;1;16;4;12;6;6;6;6;5;5;4;5;com.mpatric.mp3agic.BufferToolsTest.ReturnsMinusOneWhenNoSingleTerminator();3;4;2;2;2;1;0;3;2;1;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.ReturnsMinusOneWhenNoSingleTerminator();11,2,3,4,5,6,13,7,3,4,5,6,13,7,3,4,5,6,13,7,3,4,5,6,13,7,3,10,12;29;1;4;1;10;0.625;1;7;0.30434782608695654;
com.mpatric.mp3agic.BufferTools.indexOfTerminator(byte[],int,int);21;16;3;9;1;8;1;16;4;12;6;6;6;6;5;5;4;5;com.mpatric.mp3agic.BufferToolsTest.findsDoubleTerminator();3;4;2;2;2;1;0;3;2;1;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.findsDoubleTerminator();11,2,3,4,5,6,13,7,3,4,3,4,5,6,13,7,3,4,3,4,5,6,5,6,5,7,8,9,10,12;30;1;6;0;15;0.9375;0;7;0.30434782608695654;
com.mpatric.mp3agic.BufferTools.indexOfTerminator(byte[],int,int);21;16;3;9;1;8;1;16;4;12;6;6;6;6;5;5;4;5;com.mpatric.mp3agic.BufferToolsTest.findsNotFindDoubleTerminatorIfNotOnEvenByte();3;4;2;2;2;1;0;3;2;1;1;1;1;1;0;0;0;0;com.mpatric.mp3agic.BufferToolsTest.findsNotFindDoubleTerminatorIfNotOnEvenByte();11,2,3,4,5,6,13,7,3,4,3,4,5,6,13,7,3,4,3,4,5,6,13,7,3,4,3,4,5,6,5,6,13,7,3,4,3,10,12;39;1;8;0;12;0.75;1;7;0.30434782608695654;
