ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;id;testPath;pathLength;hasLoop;countLoop;countnewReqEcCovered;countReqEcCovered;EdgeCoverage;countnewReqPpcCovered;countReqPcCovered;primePathCoverage
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder1();0;6;3;4;4;1;0;3;2;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder1();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;10;10;0.7142857142857143;3;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testValidationDocExample();0;11;4;9;11;1;0;8;3;5;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testValidationDocExample();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,11,14;19;1;5;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder16();0;8;3;6;5;1;0;2;2;0;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder16();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder17();0;9;4;7;10;1;0;6;3;3;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder17();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder2();0;9;4;7;7;1;0;4;3;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder2();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,11,14;19;1;5;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder3();0;10;5;8;8;1;0;5;4;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder3();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,11,14;19;1;5;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators1();1;37;7;30;5;1;0;26;7;19;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators1();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder4();0;14;6;10;5;1;0;7;5;2;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder4();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators2();1;29;8;22;6;1;0;21;8;13;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators2();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators3();1;24;5;19;5;1;0;14;4;10;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators3();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testModulo1();0;5;3;3;4;1;0;3;2;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testModulo1();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators4();0;60;9;50;5;1;0;32;8;24;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators4();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder01();0;9;4;7;6;1;0;4;3;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder01();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder02();0;9;4;7;6;1;0;4;3;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder02();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder03();0;12;6;10;8;1;0;6;5;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder03();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder04();0;18;6;15;8;1;0;12;5;7;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder04();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder05();0;11;6;9;6;1;0;6;5;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder05();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,11,14;19;1;5;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder06();0;13;7;11;6;1;0;10;6;4;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder06();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;23;1;7;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder5();0;18;7;13;5;1;0;11;7;4;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder5();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder07();0;9;5;7;8;1;0;5;4;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder07();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,11,14;19;1;5;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder08();0;9;5;7;8;1;0;5;4;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder08();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,9,8,11,14;21;1;6;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder08();0;9;5;7;8;1;0;5;4;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder08();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,9,8,11,14;19;1;5;0;10;0.7142857142857143;0;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder08();0;9;5;7;8;1;0;5;4;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder08();13,2,4,5,6,7,8,9,8,9,8,9,8,9,8,11,14;17;1;4;0;10;0.7142857142857143;0;3;0.5;
